파일명/유사도(%),검수 마이카인드 1.txt,검수 마이카인드 2.txt,검수 마이카인드 3.txt,샘플 .txt,샘플 내 몸에 활력 마카효능 마이카인드 유기농 마카 파우더 ~ 멀티미네랄.txt,샘플 마이카인드 - 유기농 맘스 멀티비타민.txt,샘플 마이카인드(mykind)  비타민 디 (Vitamin D).txt,샘플 믿고 픽 임신 마그네슘  영양제 추천 마이카인드로 !.txt,샘플 비타민B부족 마이카인드 고농축비타민B로 보충해요.txt,샘플 비타민C효능 마이카인드 유기농비타민C 이영애비타민.txt,샘플 비타민D 부족이라면 마이카인드 NONGMO비타민D 햇빛충전^^.txt,샘플 비타민추천 마이카인드 유기농비타민 꾸준히 챙겨요.txt,샘플 안전한 칼슘 마이카인드 칼슘효능 알고 먹자 .txt,샘플 여성 종합영양제 추천 이영애 비타민 마이카인드.txt,샘플 여성비타민 추천 마이카인드 필수영양제 찾고있다면!.txt,"샘플 임산부칼슘제, 뼈건강에 좋은 마이카인드 칼슘영양제!.txt",샘플 종합비타민 추천 마이카인드 믿고 먹는 여성비타민 ♥.txt,샘플 출산한 나를 위한 영양제! 마이카인드 여자종합영양제.txt,샘플 칼슘보충제 또는 유기농 임산부칼슘추천 마이카인드.txt
검수 마이카인드 1.txt,100.0,24.7,26.0,19.0,12.7,26.0,31.3,26.5,28.299999999999997,42.199999999999996,25.8,27.800000000000004,17.299999999999997,37.8,37.8,25.7,32.800000000000004,35.099999999999994,11.0
검수 마이카인드 2.txt,24.7,100.0,98.3,14.299999999999999,6.0,98.3,20.1,15.2,14.000000000000002,25.5,15.9,18.4,13.5,22.3,20.8,15.0,13.200000000000001,15.299999999999999,12.7
검수 마이카인드 3.txt,26.0,98.3,100.0,15.1,6.800000000000001,100.0,21.7,16.1,16.1,27.700000000000003,17.2,21.2,14.099999999999998,23.3,22.3,16.400000000000002,14.6,18.3,13.200000000000001
샘플 .txt,19.0,14.299999999999999,15.1,100.0,6.4,15.1,24.5,37.9,10.4,15.8,13.900000000000002,18.4,18.3,20.1,23.3,20.1,21.0,20.200000000000003,13.900000000000002
샘플 내 몸에 활력 마카효능 마이카인드 유기농 마카 파우더 ~ 멀티미네랄.txt,12.7,6.0,6.800000000000001,6.4,100.0,6.800000000000001,8.9,8.5,8.1,15.8,9.2,10.0,9.6,8.9,9.6,8.799999999999999,10.2,11.3,5.6000000000000005
샘플 마이카인드 - 유기농 맘스 멀티비타민.txt,26.0,98.3,100.0,15.1,6.800000000000001,100.0,21.7,16.1,16.1,27.700000000000003,17.2,21.2,14.099999999999998,23.3,22.3,16.400000000000002,14.6,18.3,13.200000000000001
샘플 마이카인드(mykind)  비타민 디 (Vitamin D).txt,31.3,20.1,21.7,24.5,8.9,21.7,100.0,22.5,24.6,29.7,24.099999999999998,23.400000000000002,22.2,28.1,32.5,25.900000000000002,26.700000000000003,28.299999999999997,9.0
샘플 믿고 픽 임신 마그네슘  영양제 추천 마이카인드로 !.txt,26.5,15.2,16.1,37.9,8.5,16.1,22.5,100.0,18.9,24.2,19.8,18.4,16.8,25.0,28.999999999999996,24.7,24.9,24.8,8.6
샘플 비타민B부족 마이카인드 고농축비타민B로 보충해요.txt,28.299999999999997,14.000000000000002,16.1,10.4,8.1,16.1,24.6,18.9,100.0,35.5,23.1,21.2,13.200000000000001,22.1,26.0,16.3,25.7,22.2,9.6
샘플 비타민C효능 마이카인드 유기농비타민C 이영애비타민.txt,42.199999999999996,25.5,27.700000000000003,15.8,15.8,27.700000000000003,29.7,24.2,35.5,100.0,29.7,30.7,23.400000000000002,34.5,39.2,26.900000000000002,33.2,30.9,12.3
샘플 비타민D 부족이라면 마이카인드 NONGMO비타민D 햇빛충전^^.txt,25.8,15.9,17.2,13.900000000000002,9.2,17.2,24.099999999999998,19.8,23.1,29.7,100.0,22.8,18.099999999999998,22.3,26.400000000000002,17.8,22.5,20.4,9.8
샘플 비타민추천 마이카인드 유기농비타민 꾸준히 챙겨요.txt,27.800000000000004,18.4,21.2,18.4,10.0,21.2,23.400000000000002,18.4,21.2,30.7,22.8,100.0,19.900000000000002,26.400000000000002,34.4,19.400000000000002,27.0,26.3,12.0
샘플 안전한 칼슘 마이카인드 칼슘효능 알고 먹자 .txt,17.299999999999997,13.5,14.099999999999998,18.3,9.6,14.099999999999998,22.2,16.8,13.200000000000001,23.400000000000002,18.099999999999998,19.900000000000002,100.0,19.2,19.900000000000002,58.5,18.5,17.299999999999997,53.400000000000006
샘플 여성 종합영양제 추천 이영애 비타민 마이카인드.txt,37.8,22.3,23.3,20.1,8.9,23.3,28.1,25.0,22.1,34.5,22.3,26.400000000000002,19.2,100.0,39.300000000000004,20.599999999999998,34.599999999999994,30.9,11.3
샘플 여성비타민 추천 마이카인드 필수영양제 찾고있다면!.txt,37.8,20.8,22.3,23.3,9.6,22.3,32.5,28.999999999999996,26.0,39.2,26.400000000000002,34.4,19.900000000000002,39.300000000000004,100.0,25.8,40.0,35.4,13.100000000000001
"샘플 임산부칼슘제, 뼈건강에 좋은 마이카인드 칼슘영양제!.txt",25.7,15.0,16.400000000000002,20.1,8.799999999999999,16.400000000000002,25.900000000000002,24.7,16.3,26.900000000000002,17.8,19.400000000000002,58.5,20.599999999999998,25.8,100.0,23.599999999999998,28.9,59.599999999999994
샘플 종합비타민 추천 마이카인드 믿고 먹는 여성비타민 ♥.txt,32.800000000000004,13.200000000000001,14.6,21.0,10.2,14.6,26.700000000000003,24.9,25.7,33.2,22.5,27.0,18.5,34.599999999999994,40.0,23.599999999999998,100.0,36.199999999999996,12.2
샘플 출산한 나를 위한 영양제! 마이카인드 여자종합영양제.txt,35.099999999999994,15.299999999999999,18.3,20.200000000000003,11.3,18.3,28.299999999999997,24.8,22.2,30.9,20.4,26.3,17.299999999999997,30.9,35.4,28.9,36.199999999999996,100.0,11.600000000000001
샘플 칼슘보충제 또는 유기농 임산부칼슘추천 마이카인드.txt,11.0,12.7,13.200000000000001,13.900000000000002,5.6000000000000005,13.200000000000001,9.0,8.6,9.6,12.3,9.8,12.0,53.400000000000006,11.3,13.100000000000001,59.599999999999994,12.2,11.600000000000001,100.0
